time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum,es,ea,vpd,delta,giorno_anno,ra,rso,rns,rapporto_nuvolosita,rnl,rn,u2,et0,giorni_da_semina,kc,etc
2024-07-10,31.8,20.9,26.7,76,8.7,26.22,0.0,3.5865354930913638,2.7257669747494364,0.8607685183419274,0.20597415419609683,192,40.97647309284106,30.769233645414353,20.1894,0.8521499203444626,3.4447019300274557,16.744698069972543,6.507174353961114,6.016309577485089,76,1.2,7.219571492982106
2024-07-11,32.8,21.2,27.0,70,8.2,26.61,0.0,3.7458572427223746,2.6221000699056622,1.1237571728167124,0.20915998442580921,193,40.88631651809369,30.701535073436556,20.4897,0.8667319056311091,3.7062369636017505,16.78346303639825,6.133198816377141,6.775100416839005,77,1.2,8.130120500206806
2024-07-12,29.0,21.0,25.1,79,23.1,22.44,2.8,3.2463414986789934,2.564609783956405,0.6817317147225883,0.18966399559757055,194,40.7921199792754,30.630802892437895,17.2788,0.7325958799969937,2.8703485479058926,14.408451452094107,17.27766983637951,5.378809732465245,78,1.2,6.4545716789582945
2024-07-13,29.7,19.8,24.5,75,12.1,24.31,0.1,3.240042723070193,2.4300320423026447,0.8100106807675482,0.183835009120509,195,40.69390187813055,30.557050920288233,18.7187,0.7955610658703806,3.4101171777215527,15.308582822278446,9.050208009532124,5.763836784481458,79,1.2,6.916604141377749
2024-07-14,30.4,19.3,24.7,72,10.3,26.9,0.0,3.290124381168804,2.3688895544415387,0.9212348267272654,0.1857609902650545,196,40.59168129796066,30.48029348663866,20.713,0.8825374339584978,4.060263517785004,16.652736482214998,7.703896074229825,6.3038056904207345,80,1.2,7.564566828504881
2024-07-15,32.2,19.5,26.0,66,9.8,26.63,0.0,3.537828733121705,2.3349669638603254,1.2028617692613794,0.19869895242110683,197,40.48547800507413,30.400545434010162,20.5051,0.875971125511718,4.124885013687241,16.380214986312758,7.329920536645853,7.178762063122776,81,1.2,8.614514475747331
2024-07-16,32.4,21.2,26.8,70,12.8,25.39,0.0,3.690516845071584,2.5833617915501086,1.1071550535214754,0.20703153059292453,198,40.37531245148353,30.317822119818985,19.5503,0.8374612100980159,3.5699252872288194,15.98037471277118,9.573773762149685,7.07510440206779,82,1.2,8.490125282481348
2024-07-17,33.1,22.1,27.4,66,9.6,25.44,0.0,3.859260415315956,2.547111874108531,1.3121485412074252,0.21347213281933025,199,40.26120577891376,30.232139419386346,19.588800000000003,0.8414885776719663,3.6830462591564364,15.905753740843567,7.180330321612264,7.37906894815681,83,1.2,8.854882737788172
2024-07-18,32.9,22.3,28.1,68,12.8,25.26,0.0,3.847333017074044,2.61618645161035,1.231146565463694,0.22119824570984212,200,40.14317982417417,30.143513729972383,19.450200000000002,0.8379912251199636,3.5658976799953552,15.884302320004647,9.573773762149685,7.493854040727281,84,1.2,8.992624848872737
2024-07-19,34.3,23.4,28.5,66,18.9,23.95,4.1,4.143444027066722,2.7346730578640366,1.4087709692026853,0.225717686867152,201,40.02125712593865,30.05196197586733,18.4415,0.7969529583204119,3.2183253816862374,15.223174618313763,14.136275320674143,8.759769836229205,85,1.2,10.511723803475046
